Name,Age,Location,Device Usage Log,Voice Command,Security Footage Description,Home Automation Setting,Network Information,Customer Service Interaction
Tiffany Lane,51,"Lake Jasmine, Palau","{'device': 'Security Camera', 'usage_start': '2023-10-27 05:44:52', 'usage_end': '2023-10-27 10:44:52'}",,"{'time': '2023-10-27 13:44:52', 'activity': 'Motion in living room at night'}",,"{'IP_address': '198.215.30.86', 'Wifi_network': 'pretty', 'Device_ID': '0239bc38-b52e-4c73-a030-3bfa7c37391b'}",
Renee Rich,54,"New Jeremytown, Seychelles","{'device': 'Smart Light', 'usage_start': '2023-10-27 11:44:53', 'usage_end': '2023-10-27 07:44:53'}",,"{'time': '2023-10-27 17:44:53', 'activity': None}",Security alarm preferences,"{'IP_address': '174.61.238.187', 'Wifi_network': 'sure', 'Device_ID': '74e4aa0b-f1d3-4ab2-a836-8897a75e4f9e'}",
Henry Nunez,60,"Jenniferland, Somalia","{'device': 'Smart Light', 'usage_start': '2023-10-27 15:44:53', 'usage_end': '2023-10-27 14:44:53'}",,"{'time': '2023-10-27 13:44:53', 'activity': None}",Security alarm preferences,"{'IP_address': '90.34.174.129', 'Wifi_network': 'fall', 'Device_ID': '5b083446-f214-4e38-9308-ecf1fd3ba3ec'}",The device is making a strange noise
Jeffery Smith,36,"West Davidchester, Gambia","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 10:44:53', 'usage_end': '2023-10-27 16:44:53'}",Play music,"{'time': '2023-10-28 00:44:53', 'activity': None}",,"{'IP_address': '38.141.232.250', 'Wifi_network': 'check', 'Device_ID': '3fca242e-fb47-422e-94c2-2c43ef9fcf5f'}",Can I add multiple users?
Amanda Camacho,45,"East Diana, Georgia","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 13:44:53', 'usage_end': '2023-10-27 09:44:53'}",Read my notifications,"{'time': '2023-10-27 06:44:53', 'activity': None}",,"{'IP_address': '37.82.179.83', 'Wifi_network': 'station', 'Device_ID': '6f5611eb-e04b-4937-a2a1-8d271214e34e'}",
Destiny Miller,65,"North Darrell, Greenland","{'device': 'Security Camera', 'usage_start': '2023-10-27 08:44:53', 'usage_end': '2023-10-27 07:44:53'}",,"{'time': '2023-10-27 19:44:53', 'activity': 'Window broken'}",,"{'IP_address': '96.184.15.143', 'Wifi_network': 'century', 'Device_ID': 'ec6c41c4-d85e-4061-9f33-e6e1fe129e9c'}",The device is making a strange noise
Jeremy Nelson,54,"Brownstad, Moldova","{'device': 'Security Camera', 'usage_start': '2023-10-28 04:44:53', 'usage_end': '2023-10-28 01:44:53'}",,"{'time': '2023-10-27 22:44:53', 'activity': 'Smoke detected'}",,"{'IP_address': '143.37.125.255', 'Wifi_network': 'chair', 'Device_ID': '9d4d2d9b-410f-4849-b85e-dfa690e3c62b'}",
Deborah Hall,36,"Port Latoyaport, Benin","{'device': 'Security Camera', 'usage_start': '2023-10-27 09:44:53', 'usage_end': '2023-10-27 13:44:53'}",,"{'time': '2023-10-28 04:44:53', 'activity': 'Motion in living room at night'}",,"{'IP_address': '36.20.16.116', 'Wifi_network': 'matter', 'Device_ID': '3810d10f-8219-4815-bec5-c5ddb3ce7608'}",
Glenn Lopez,32,"Allisonborough, Seychelles","{'device': 'Security Camera', 'usage_start': '2023-10-27 16:44:53', 'usage_end': '2023-10-27 11:44:53'}",,"{'time': '2023-10-28 05:44:53', 'activity': 'Window broken'}",,"{'IP_address': '64.98.148.122', 'Wifi_network': 'peace', 'Device_ID': 'f817daad-52a8-4a19-b82e-44775e82d901'}",Can I add multiple users?
Charles Martin,73,"Barnestown, India","{'device': 'Security Camera', 'usage_start': '2023-10-27 10:44:53', 'usage_end': '2023-10-27 20:44:53'}",,"{'time': '2023-10-28 05:44:53', 'activity': 'Motion in living room at night'}",,"{'IP_address': '61.216.128.113', 'Wifi_network': 'go', 'Device_ID': '4d519a19-6ebe-4868-99f9-6edbbf933beb'}",
Tyler Garner,52,"Dylanborough, Turkmenistan","{'device': 'Smart Lock', 'usage_start': '2023-10-27 16:44:53', 'usage_end': '2023-10-28 00:44:53'}",,"{'time': '2023-10-27 08:44:53', 'activity': None}",Automated lighting configuration,"{'IP_address': '215.55.40.138', 'Wifi_network': 'assume', 'Device_ID': '4c6c77e7-e736-4041-b254-29107cb98b46'}",
Nicole Benson,19,"Port Peter, Syrian Arab Republic","{'device': 'Smart Lock', 'usage_start': '2023-10-27 10:44:53', 'usage_end': '2023-10-27 16:44:53'}",,"{'time': '2023-10-27 15:44:53', 'activity': None}",Thermostat schedule,"{'IP_address': '63.181.189.29', 'Wifi_network': 'behind', 'Device_ID': '8e782ef4-13f2-42ce-8608-e39b955884cd'}",How do I set up voice recognition?
Richard Meadows,29,"Kingmouth, Norway","{'device': 'Smart Light', 'usage_start': '2023-10-27 20:44:53', 'usage_end': '2023-10-27 19:44:53'}",,"{'time': '2023-10-27 21:44:53', 'activity': None}",Automated lighting configuration,"{'IP_address': '206.205.65.235', 'Wifi_network': 'bed', 'Device_ID': 'a1edf25e-d916-41e1-acbe-585ee0d8302b'}",Device not responding
Patricia Wilson,33,"Morganfort, Djibouti","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 18:44:53', 'usage_end': '2023-10-28 00:44:53'}",Play music,"{'time': '2023-10-28 01:44:53', 'activity': None}",,"{'IP_address': '214.45.63.94', 'Wifi_network': 'information', 'Device_ID': '06b2c8b1-e7c3-4914-b5f9-b8dbfa78b546'}",The device is making a strange noise
Miss Wendy Mckay,74,"Kingville, Ireland","{'device': 'Security Camera', 'usage_start': '2023-10-27 06:44:53', 'usage_end': '2023-10-27 07:44:53'}",,"{'time': '2023-10-27 14:44:53', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '203.113.74.246', 'Wifi_network': 'stock', 'Device_ID': '20244200-7646-4fcf-87e8-038ec5327d83'}",Device not responding
Steven Ball,69,"Jasonport, Saint Martin","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 02:44:53', 'usage_end': '2023-10-27 11:44:53'}",Read my notifications,"{'time': '2023-10-27 11:44:53', 'activity': None}",,"{'IP_address': '150.58.12.81', 'Wifi_network': 'ball', 'Device_ID': '6c649e16-569d-455d-8a27-885073fe87d9'}",The device is making a strange noise
Laura Huff,53,"Darrellchester, Faroe Islands","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 11:44:53', 'usage_end': '2023-10-27 13:44:53'}",Set an alarm for 7 AM,"{'time': '2023-10-27 14:44:53', 'activity': None}",,"{'IP_address': '116.223.205.79', 'Wifi_network': 'skin', 'Device_ID': '27078637-e818-4570-b89d-499979fbc770'}",
Heather Johnson,48,"Brennanmouth, Timor-Leste","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 11:44:53', 'usage_end': '2023-10-28 00:44:53'}",What’s the weather?,"{'time': '2023-10-27 06:44:53', 'activity': None}",,"{'IP_address': '27.211.111.111', 'Wifi_network': 'nothing', 'Device_ID': '42657ccc-df5e-4127-8162-84aea728e9d3'}",Can I add multiple users?
Dylan Dudley,59,"Port Michael, Falkland Islands (Malvinas)","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 11:44:53', 'usage_end': '2023-10-27 07:44:53'}",Turn off the living room light,"{'time': '2023-10-27 05:44:53', 'activity': None}",,"{'IP_address': '157.4.236.116', 'Wifi_network': 'factor', 'Device_ID': 'a2f834eb-0d1b-444d-93bd-3ab549873da4'}",
Amy Yu,52,"Karatown, Guam","{'device': 'Security Camera', 'usage_start': '2023-10-27 09:44:53', 'usage_end': '2023-10-27 10:44:53'}",,"{'time': '2023-10-27 18:44:53', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '14.55.109.44', 'Wifi_network': 'well', 'Device_ID': '6403dbd4-410d-44ed-aa32-c69407875f47'}",Can I add multiple users?
William Trujillo,41,"Michellefurt, Somalia","{'device': 'Security Camera', 'usage_start': '2023-10-27 10:44:53', 'usage_end': '2023-10-27 21:44:53'}",,"{'time': '2023-10-27 07:44:53', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '154.62.126.38', 'Wifi_network': 'under', 'Device_ID': '33814876-62f7-420f-aba1-7ed040c38e42'}",
Bob Davis MD,48,"New Tracie, Korea","{'device': 'Thermostat', 'usage_start': '2023-10-27 14:44:53', 'usage_end': '2023-10-28 02:44:53'}",,"{'time': '2023-10-28 03:44:53', 'activity': None}",Automated lighting configuration,"{'IP_address': '100.223.191.254', 'Wifi_network': 'computer', 'Device_ID': 'cd6836d1-8d36-419d-845a-48c96c24c34d'}",Can I add multiple users?
Breanna Davis DVM,28,"Denisebury, United States of America","{'device': 'Smart Light', 'usage_start': '2023-10-27 05:44:53', 'usage_end': '2023-10-28 05:44:53'}",,"{'time': '2023-10-28 02:44:53', 'activity': None}",Security alarm preferences,"{'IP_address': '23.151.23.167', 'Wifi_network': 'safe', 'Device_ID': '4b1d5540-4e13-4b59-a2ff-0727c7e09d8b'}",The device is making a strange noise
Matthew Adams,47,"North Josephfurt, Lao People's Democratic Republic","{'device': 'Security Camera', 'usage_start': '2023-10-28 01:44:53', 'usage_end': '2023-10-27 17:44:53'}",,"{'time': '2023-10-27 15:44:53', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '175.118.217.216', 'Wifi_network': 'six', 'Device_ID': 'd95e883c-89ae-4458-b106-90aaeb66e983'}",Can I add multiple users?
Alexandra Vasquez,54,"Thomasbury, Netherlands","{'device': 'Smart Lock', 'usage_start': '2023-10-27 07:44:53', 'usage_end': '2023-10-27 07:44:53'}",,"{'time': '2023-10-27 06:44:53', 'activity': None}",Thermostat schedule,"{'IP_address': '56.240.209.131', 'Wifi_network': 'keep', 'Device_ID': '6341cc42-2d7f-4ab5-b645-95fe4b436ae6'}",The device is making a strange noise
Jose Branch,69,"West Kaylachester, Bermuda","{'device': 'Thermostat', 'usage_start': '2023-10-27 10:44:53', 'usage_end': '2023-10-27 08:44:53'}",,"{'time': '2023-10-27 20:44:53', 'activity': None}",Security alarm preferences,"{'IP_address': '120.0.92.168', 'Wifi_network': 'then', 'Device_ID': 'ba40645c-70d5-4978-a91e-aa1ba9b577af'}",The device is making a strange noise
Scott Malone,39,"South Robertbury, Guinea","{'device': 'Security Camera', 'usage_start': '2023-10-28 00:44:53', 'usage_end': '2023-10-27 18:44:53'}",,"{'time': '2023-10-27 19:44:53', 'activity': 'Motion in living room at night'}",,"{'IP_address': '44.104.227.150', 'Wifi_network': 'candidate', 'Device_ID': '5f8eecc2-186b-425a-91e2-828ec8cd7182'}",How do I set up voice recognition?
Thomas Walton,71,"Wallaceton, Saint Kitts and Nevis","{'device': 'Security Camera', 'usage_start': '2023-10-27 17:44:53', 'usage_end': '2023-10-27 22:44:53'}",,"{'time': '2023-10-27 09:44:53', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '185.24.198.180', 'Wifi_network': 'theory', 'Device_ID': '6c58bac3-0b3a-4eba-9baf-f6cb278977b2'}",
Ana Wilson,55,"Jeffreyport, Equatorial Guinea","{'device': 'Security Camera', 'usage_start': '2023-10-27 19:44:53', 'usage_end': '2023-10-27 16:44:53'}",,"{'time': '2023-10-27 13:44:53', 'activity': 'Window broken'}",,"{'IP_address': '196.193.170.9', 'Wifi_network': 'natural', 'Device_ID': '95916a23-be6e-41b5-a577-528280476d6a'}",
William Wright,54,"Gillespiemouth, Bouvet Island (Bouvetoya)","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 20:44:53', 'usage_end': '2023-10-28 03:44:53'}",Set an alarm for 7 AM,"{'time': '2023-10-27 20:44:53', 'activity': None}",,"{'IP_address': '87.44.201.195', 'Wifi_network': 'part', 'Device_ID': '1b555aff-7f1d-40bb-a931-df2d40d82c04'}",
Deborah Moore,40,"Chadside, Puerto Rico","{'device': 'Smart Lock', 'usage_start': '2023-10-27 17:44:53', 'usage_end': '2023-10-27 09:44:53'}",,"{'time': '2023-10-27 19:44:53', 'activity': None}",Automated lighting configuration,"{'IP_address': '161.62.64.129', 'Wifi_network': 'power', 'Device_ID': 'c2ee8252-3a77-4e0e-90a2-10c3145dbe20'}",Device not responding
Tracy Simmons,38,"Williamfort, Montenegro","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 22:44:53', 'usage_end': '2023-10-28 02:44:53'}",Set an alarm for 7 AM,"{'time': '2023-10-27 13:44:53', 'activity': None}",,"{'IP_address': '95.196.97.27', 'Wifi_network': 'trip', 'Device_ID': '9da70bb8-3c1a-44e2-9dda-93f650bf0bde'}",
Brett Simmons,32,"Bakerbury, Western Sahara","{'device': 'Thermostat', 'usage_start': '2023-10-27 22:44:53', 'usage_end': '2023-10-27 11:44:53'}",,"{'time': '2023-10-27 14:44:53', 'activity': None}",Automated lighting configuration,"{'IP_address': '28.231.140.47', 'Wifi_network': 'mother', 'Device_ID': 'b5b9f6a9-568c-42c8-8800-aa3182b659bb'}",
Kimberly Robinson,29,"Port Rubenhaven, Cuba","{'device': 'Smart Light', 'usage_start': '2023-10-27 10:44:53', 'usage_end': '2023-10-27 08:44:53'}",,"{'time': '2023-10-27 12:44:53', 'activity': None}",Automated lighting configuration,"{'IP_address': '48.197.31.1', 'Wifi_network': 'environment', 'Device_ID': '43f7e4fd-5dd6-4cff-8e74-7e46f9e7a534'}",Can I add multiple users?
Jared Elliott,25,"Medinaside, Venezuela","{'device': 'Security Camera', 'usage_start': '2023-10-28 05:44:53', 'usage_end': '2023-10-28 03:44:53'}",,"{'time': '2023-10-28 05:44:53', 'activity': 'Opened front door'}",,"{'IP_address': '99.238.162.43', 'Wifi_network': 'news', 'Device_ID': 'eb95fd82-92fe-4b24-b078-c1be1c0acebd'}",
Brian Mitchell,19,"Yoderside, Botswana","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 13:44:53', 'usage_end': '2023-10-27 12:44:53'}",What’s the weather?,"{'time': '2023-10-27 05:44:53', 'activity': None}",,"{'IP_address': '75.54.157.223', 'Wifi_network': 'eat', 'Device_ID': '36e809cb-78b2-4e8a-9733-7d20b44f6264'}",Device not responding
Margaret Spence,51,"Jacksonton, South Africa","{'device': 'Smart Lock', 'usage_start': '2023-10-27 22:44:53', 'usage_end': '2023-10-28 03:44:53'}",,"{'time': '2023-10-27 11:44:53', 'activity': None}",Security alarm preferences,"{'IP_address': '147.144.96.71', 'Wifi_network': 'hold', 'Device_ID': '142477e2-9959-44c0-95c4-7587d8a2e2a8'}",
Kayla Reed,32,"North Maria, United Kingdom","{'device': 'Security Camera', 'usage_start': '2023-10-27 05:44:53', 'usage_end': '2023-10-27 07:44:53'}",,"{'time': '2023-10-27 06:44:53', 'activity': 'Motion in living room at night'}",,"{'IP_address': '78.44.160.162', 'Wifi_network': 'lot', 'Device_ID': '723cc83a-74cf-4606-84ad-608b2416a610'}",
Ashley Tate,28,"Ellisonland, Cambodia","{'device': 'Security Camera', 'usage_start': '2023-10-28 00:44:53', 'usage_end': '2023-10-27 17:44:53'}",,"{'time': '2023-10-27 10:44:53', 'activity': 'Smoke detected'}",,"{'IP_address': '24.219.36.98', 'Wifi_network': 'along', 'Device_ID': 'b48d679c-5b56-4384-85fa-35b8a93b9d53'}",The device is making a strange noise
Kevin Manning Jr.,36,"Grantside, Cyprus","{'device': 'Security Camera', 'usage_start': '2023-10-28 05:44:53', 'usage_end': '2023-10-27 21:44:53'}",,"{'time': '2023-10-27 12:44:53', 'activity': 'Smoke detected'}",,"{'IP_address': '171.130.3.21', 'Wifi_network': 'analysis', 'Device_ID': '849ce41e-0449-4bd6-8776-09a69e48a781'}",
Catherine Roth,56,"Lambertborough, United States of America","{'device': 'Smart Light', 'usage_start': '2023-10-27 09:44:53', 'usage_end': '2023-10-27 07:44:53'}",,"{'time': '2023-10-28 00:44:53', 'activity': None}",Thermostat schedule,"{'IP_address': '163.133.9.173', 'Wifi_network': 'research', 'Device_ID': 'c90c6aeb-7d79-4cda-a8d0-d15bba3fe435'}",
Tracey Wilcox,53,"Mariabury, Kiribati","{'device': 'Smart Lock', 'usage_start': '2023-10-27 22:44:53', 'usage_end': '2023-10-28 04:44:53'}",,"{'time': '2023-10-27 19:44:53', 'activity': None}",Automated lighting configuration,"{'IP_address': '205.126.199.2', 'Wifi_network': 'single', 'Device_ID': '4738c6fd-40e8-418a-a16f-7afb9ad2bfcc'}",Can I add multiple users?
George Lamb,29,"New Anthony, Luxembourg","{'device': 'Security Camera', 'usage_start': '2023-10-27 06:44:53', 'usage_end': '2023-10-27 08:44:53'}",,"{'time': '2023-10-28 02:44:53', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '207.66.137.184', 'Wifi_network': 'finally', 'Device_ID': '14128a6a-b3d8-46aa-8f75-59229ed20846'}",
Steven Shaw,52,"Destinybury, Italy","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 00:44:53', 'usage_end': '2023-10-27 18:44:53'}",Read my notifications,"{'time': '2023-10-27 08:44:53', 'activity': None}",,"{'IP_address': '163.10.172.81', 'Wifi_network': 'box', 'Device_ID': 'cbbfae04-5e8f-4e36-9f81-9a701667c687'}",Can I add multiple users?
Tammy White,36,"Cynthiabury, Mauritius","{'device': 'Smart Light', 'usage_start': '2023-10-27 12:44:53', 'usage_end': '2023-10-27 13:44:53'}",,"{'time': '2023-10-27 19:44:53', 'activity': None}",Thermostat schedule,"{'IP_address': '49.191.253.18', 'Wifi_network': 'threat', 'Device_ID': 'c1934b66-3432-4e7b-874b-d51994f12fa4'}",
Emily Morris,64,"New Corey, Yemen","{'device': 'Smart Light', 'usage_start': '2023-10-27 22:44:53', 'usage_end': '2023-10-27 08:44:53'}",,"{'time': '2023-10-28 02:44:53', 'activity': None}",Thermostat schedule,"{'IP_address': '47.8.201.45', 'Wifi_network': 'feel', 'Device_ID': 'a47134b6-6721-45b9-8ef0-e120ef5b92ff'}",
Zachary Davidson,59,"Ericafort, Syrian Arab Republic","{'device': 'Smart Light', 'usage_start': '2023-10-27 06:44:53', 'usage_end': '2023-10-27 13:44:53'}",,"{'time': '2023-10-27 18:44:53', 'activity': None}",Thermostat schedule,"{'IP_address': '38.208.145.85', 'Wifi_network': 'source', 'Device_ID': '94a90af4-5f5f-40c0-8868-ec687f41b5cc'}",How do I set up voice recognition?
Cameron Nguyen,56,"North Christinaview, Costa Rica","{'device': 'Smart Lock', 'usage_start': '2023-10-27 09:44:53', 'usage_end': '2023-10-27 14:44:53'}",,"{'time': '2023-10-27 13:44:53', 'activity': None}",Security alarm preferences,"{'IP_address': '64.217.20.39', 'Wifi_network': 'within', 'Device_ID': '58781eea-6c97-491d-98a6-78b416bd3f5d'}",
David Lewis,20,"New Joshuaborough, Uganda","{'device': 'Smart Light', 'usage_start': '2023-10-27 18:44:53', 'usage_end': '2023-10-27 19:44:53'}",,"{'time': '2023-10-27 13:44:53', 'activity': None}",Automated door lock schedule,"{'IP_address': '15.14.150.44', 'Wifi_network': 'month', 'Device_ID': '906d8304-952d-47e1-8bd7-8c0c5873221d'}",
Jeffrey Valdez,39,"East Lindsey, Korea","{'device': 'Security Camera', 'usage_start': '2023-10-28 00:44:53', 'usage_end': '2023-10-27 12:44:53'}",,"{'time': '2023-10-28 05:44:53', 'activity': 'Opened front door'}",,"{'IP_address': '205.195.50.67', 'Wifi_network': 'card', 'Device_ID': '06481339-b94a-4d7e-80f4-f1d3f890df37'}",Device not responding
Deanna Doyle,32,"Deborahshire, Svalbard & Jan Mayen Islands","{'device': 'Thermostat', 'usage_start': '2023-10-28 02:44:53', 'usage_end': '2023-10-28 01:44:53'}",,"{'time': '2023-10-27 16:44:53', 'activity': None}",Security alarm preferences,"{'IP_address': '164.240.255.211', 'Wifi_network': 'in', 'Device_ID': 'd7dae895-d27e-4282-b657-a8fe56a340f6'}",
James Green,74,"Lake Christopher, San Marino","{'device': 'Smart Light', 'usage_start': '2023-10-27 16:44:53', 'usage_end': '2023-10-27 17:44:53'}",,"{'time': '2023-10-27 15:44:53', 'activity': None}",Thermostat schedule,"{'IP_address': '210.61.238.77', 'Wifi_network': 'than', 'Device_ID': 'ac07acbe-b2f4-4dcb-82a3-1a5fd09d7d01'}",
Mckenzie Morales,37,"Briantown, United Kingdom","{'device': 'Smart Light', 'usage_start': '2023-10-27 07:44:53', 'usage_end': '2023-10-27 19:44:53'}",,"{'time': '2023-10-27 11:44:53', 'activity': None}",Automated lighting configuration,"{'IP_address': '144.59.171.106', 'Wifi_network': 'check', 'Device_ID': '440dae35-8bde-441e-a37a-75a915b797d8'}",
Nicholas Wells,59,"Deborahstad, Korea","{'device': 'Smart Lock', 'usage_start': '2023-10-27 18:44:53', 'usage_end': '2023-10-28 04:44:53'}",,"{'time': '2023-10-27 23:44:53', 'activity': None}",Security alarm preferences,"{'IP_address': '151.49.251.191', 'Wifi_network': 'discussion', 'Device_ID': '5e59f717-3b93-4e79-a560-49908d4b7762'}",
Robin Mcgee,74,"West Richardbury, El Salvador","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 21:44:53', 'usage_end': '2023-10-27 09:44:53'}",Turn off the living room light,"{'time': '2023-10-27 09:44:53', 'activity': None}",,"{'IP_address': '64.162.74.51', 'Wifi_network': 'better', 'Device_ID': '85aa913a-0331-475f-b816-e6a6fed629d6'}",Device not responding
Roberto Martin,68,"Lake Geraldport, Indonesia","{'device': 'Smart Light', 'usage_start': '2023-10-27 15:44:53', 'usage_end': '2023-10-27 08:44:53'}",,"{'time': '2023-10-27 11:44:53', 'activity': None}",Thermostat schedule,"{'IP_address': '30.17.215.117', 'Wifi_network': 'it', 'Device_ID': '2733c4a3-e384-420b-b4d5-1956e252f86f'}",Can I add multiple users?
Megan Atkins MD,58,"Joanchester, Lebanon","{'device': 'Thermostat', 'usage_start': '2023-10-27 20:44:53', 'usage_end': '2023-10-28 02:44:53'}",,"{'time': '2023-10-28 04:44:53', 'activity': None}",Thermostat schedule,"{'IP_address': '22.21.188.197', 'Wifi_network': 'will', 'Device_ID': '96e7cb4f-688e-4369-8862-f3ccea377f45'}",How do I set up voice recognition?
Tammy Velez,49,"Port Devinstad, Hong Kong","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 09:44:53', 'usage_end': '2023-10-27 16:44:53'}",Play music,"{'time': '2023-10-28 02:44:53', 'activity': None}",,"{'IP_address': '145.213.38.40', 'Wifi_network': 'region', 'Device_ID': '576df2ad-4eda-4059-8e6f-4b929c2e16b4'}",
Isaiah Bender,59,"South Alexanderton, Ethiopia","{'device': 'Thermostat', 'usage_start': '2023-10-27 22:44:53', 'usage_end': '2023-10-27 10:44:53'}",,"{'time': '2023-10-27 22:44:53', 'activity': None}",Automated lighting configuration,"{'IP_address': '160.124.201.166', 'Wifi_network': 'society', 'Device_ID': '7e0e4211-ec3e-4afa-bdc3-7fe02d22e072'}",
Michael Weber,57,"Danielport, Nepal","{'device': 'Smart Lock', 'usage_start': '2023-10-27 08:44:53', 'usage_end': '2023-10-27 13:44:53'}",,"{'time': '2023-10-27 06:44:53', 'activity': None}",Security alarm preferences,"{'IP_address': '159.246.245.54', 'Wifi_network': 'easy', 'Device_ID': '63b84256-5135-4eaf-b422-ca590008d758'}",How do I set up voice recognition?
Jenna Soto,63,"Contrerasview, Egypt","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 06:44:53', 'usage_end': '2023-10-27 11:44:53'}",Read my notifications,"{'time': '2023-10-27 13:44:53', 'activity': None}",,"{'IP_address': '17.237.208.180', 'Wifi_network': 'green', 'Device_ID': '8a3a27ea-32a7-418c-b1b7-0c24193a03df'}",The device is making a strange noise
Kimberly Fuentes,63,"New Cherylstad, Paraguay","{'device': 'Smart Light', 'usage_start': '2023-10-27 19:44:53', 'usage_end': '2023-10-27 09:44:53'}",,"{'time': '2023-10-27 05:44:53', 'activity': None}",Security alarm preferences,"{'IP_address': '114.78.179.87', 'Wifi_network': 'good', 'Device_ID': '5c55c4cc-e058-4e73-8554-cb7392e6f28b'}",
Alexandra Mcdaniel,57,"New Maria, Cocos (Keeling) Islands","{'device': 'Smart Light', 'usage_start': '2023-10-27 15:44:53', 'usage_end': '2023-10-27 11:44:53'}",,"{'time': '2023-10-27 09:44:53', 'activity': None}",Thermostat schedule,"{'IP_address': '201.143.76.179', 'Wifi_network': 'cover', 'Device_ID': 'b3e4ba64-7462-43f9-9642-4f93f05d0ec4'}",How do I set up voice recognition?
Kathy Green,49,"Williamhaven, Luxembourg","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 07:44:53', 'usage_end': '2023-10-27 23:44:53'}",Play music,"{'time': '2023-10-27 15:44:53', 'activity': None}",,"{'IP_address': '186.172.156.194', 'Wifi_network': 'traditional', 'Device_ID': '2bb4b832-cac9-4d40-9dbe-3538322c627c'}",How do I set up voice recognition?
Logan Walls,51,"Morganville, United States of America","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 21:44:53', 'usage_end': '2023-10-28 00:44:53'}",Turn off the living room light,"{'time': '2023-10-28 00:44:53', 'activity': None}",,"{'IP_address': '44.112.180.115', 'Wifi_network': 'true', 'Device_ID': 'f320ff85-8a55-4462-a5ba-54aa31fe0b8c'}",
Peter Sanders,27,"Luismouth, Albania","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 23:44:53', 'usage_end': '2023-10-27 09:44:53'}",Play music,"{'time': '2023-10-27 22:44:53', 'activity': None}",,"{'IP_address': '140.72.109.89', 'Wifi_network': 'bar', 'Device_ID': '79d72b97-4370-45e9-a954-f5ae70c3d20c'}",How do I set up voice recognition?
Angela Pugh,52,"New Michael, Djibouti","{'device': 'Smart Light', 'usage_start': '2023-10-28 03:44:53', 'usage_end': '2023-10-27 11:44:53'}",,"{'time': '2023-10-27 14:44:53', 'activity': None}",Thermostat schedule,"{'IP_address': '129.1.132.43', 'Wifi_network': 'Republican', 'Device_ID': '0196ddb7-2dbd-43e1-9948-dd040c29e2e4'}",
Christina Bradshaw,70,"Stephaniestad, Afghanistan","{'device': 'Smart Lock', 'usage_start': '2023-10-28 00:44:53', 'usage_end': '2023-10-28 00:44:53'}",,"{'time': '2023-10-27 09:44:53', 'activity': None}",Automated lighting configuration,"{'IP_address': '116.91.84.208', 'Wifi_network': 'job', 'Device_ID': '18a17b38-f422-435c-a76a-0248c71911a6'}",
Dorothy Pace,26,"South Brandyton, United Arab Emirates","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 04:44:53', 'usage_end': '2023-10-27 17:44:53'}",Read my notifications,"{'time': '2023-10-27 06:44:53', 'activity': None}",,"{'IP_address': '203.222.219.54', 'Wifi_network': 'play', 'Device_ID': '6b910c31-e9b5-4f33-b426-e94a24558cd5'}",How do I set up voice recognition?
Kelly Lawson,64,"Mccarthyburgh, Mongolia","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 13:44:53', 'usage_end': '2023-10-27 13:44:53'}",Play music,"{'time': '2023-10-27 20:44:53', 'activity': None}",,"{'IP_address': '114.168.132.10', 'Wifi_network': 'color', 'Device_ID': '232b2a87-5efc-4be5-93dc-826d27c8a1a8'}",
Jeremy Smith,65,"Kevinchester, Kazakhstan","{'device': 'Smart Lock', 'usage_start': '2023-10-27 23:44:53', 'usage_end': '2023-10-27 09:44:53'}",,"{'time': '2023-10-27 19:44:53', 'activity': None}",Thermostat schedule,"{'IP_address': '7.150.91.201', 'Wifi_network': 'our', 'Device_ID': '29c8f5b1-f68f-45d3-84c6-370f5b944c5f'}",
Alexander Klein,36,"Foxmouth, Sri Lanka","{'device': 'Thermostat', 'usage_start': '2023-10-27 14:44:53', 'usage_end': '2023-10-27 07:44:53'}",,"{'time': '2023-10-27 23:44:53', 'activity': None}",Security alarm preferences,"{'IP_address': '64.89.115.117', 'Wifi_network': 'contain', 'Device_ID': '6fe36565-6aec-4882-85f9-1f2705f26324'}",
